topic_0,topic_1,topic_2,topic_3,topic_4,ticker,fiscal_year
0.0004404082547090661,0.00043996642782942805,0.00044012053161643903,0.00043790679297279594,0.9982415979928723,CMA,2016
0.0003583149634169507,0.00035881942030900973,0.0003579820294055682,0.00035858568804426644,0.9985662978988242,CMA,2017
0.00027356175422759256,0.00027296821513319333,0.00027388499119609076,0.00027385729745354245,0.9989057277419895,CMA,2018
0.0002882123802493601,0.0002877721311727101,0.00028855823124702794,0.0002886032996281643,0.9988468539577028,CMA,2019
0.00024363498417361953,0.00024232528089173353,0.00024314761166884148,0.00024280411814789202,0.9990280880051179,CMA,2020
0.0002562420503345989,0.0002555683289764894,0.0002566405902497418,0.00025590659168322886,0.9989756424387559,CMA,2021
0.0002462670981340733,0.0002452381731030372,0.0002471198427012042,0.00024637736206978457,0.9990149975239919,CMA,2022
0.00020425575905825378,0.00020506122998644605,0.00020421852987245498,0.00020411204954501585,0.9991823524315379,FITB,2016
0.0002060156990997537,0.00020660298078102263,0.00020640310700069763,0.00020576084895952996,0.999175217364159,FITB,2017
0.0001805442476019979,0.00018067376821335804,0.00018149200123563112,0.0001805821345607566,0.9992767078483883,FITB,2018
0.00018728415883356462,0.00018764837933818784,0.0001879987365954776,0.00018723617517189074,0.999249832550061,FITB,2019
0.0001626836999998689,0.0001622823863742619,0.00016259042505929993,0.00016237154315446378,0.999350071945412,FITB,2020
0.00013221619866197253,0.00013215862533432006,0.00013257513969968654,0.00013174442620814798,0.9994713056100959,FITB,2021
0.00013917581889617104,0.00013951154513756054,0.0001398371683266064,0.00013897398915174396,0.9994425014784879,FITB,2022
0.00029227185561124107,0.0002931633646701679,0.9988295288610083,0.0002921491073194313,0.00029288681139105077,KEY,2016
0.00029449881340276986,0.0002949200006945756,0.9988215366653207,0.00029417346544185894,0.00029487105514011013,KEY,2017
0.0002705099999566409,0.00027132230480787333,0.9989168577424862,0.00027055717909103686,0.0002707527736583476,KEY,2018
0.00024891028216486566,0.0002492752211508208,0.9990029070169407,0.00024933226102899936,0.0002495752187146573,KEY,2019
0.00020345506468927814,0.00020385542475399946,0.9991860083547042,0.00020303632811690577,0.00020364482773578587,KEY,2020
0.00019666389771357182,0.00019654452560886865,0.999212783384283,0.00019670616251573917,0.00019730202987891252,KEY,2021
0.00018495233117404218,0.00018520856031669527,0.9992590665304549,0.0001845331028771217,0.0001862394751771915,KEY,2022
0.9996881338224054,7.815345337638668e-05,7.772146834900523e-05,7.8095118574713e-05,7.789613729450945e-05,PACW,2016
0.9997005526788871,7.498892801060958e-05,7.480214710416866e-05,7.488600958634337e-05,7.477023641165108e-05,PACW,2017
0.9997050721296572,7.389310363616637e-05,7.365838131930059e-05,7.372348901152951e-05,7.36528963757866e-05,PACW,2018
0.9997120149703828,7.211534501662929e-05,7.190881573122248e-05,7.200684921246404e-05,7.195401965709862e-05,PACW,2019
0.9997561211503981,6.0997107073978955e-05,6.096555476354081e-05,6.0922714250018956e-05,6.0993473514329455e-05,PACW,2020
0.9997644556949027,5.880722690988835e-05,5.890769789300475e-05,5.8866042568163955e-05,5.89633377262668e-05,PACW,2021
0.9997624097834228,5.92083452247184e-05,5.947263804155226e-05,5.9342290856508626e-05,5.956694245443893e-05,PACW,2022
0.00016817558934058036,0.9993285207403741,0.00016756614983721473,0.00016786224486524756,0.00016787527558279676,RF,2016
0.00017475291359189584,0.9993007783916148,0.00017467313828391194,0.00017503112401311122,0.00017476443249612008,RF,2017
0.00016360120790090784,0.9993454212701534,0.00016375648888079209,0.00016372292761663814,0.000163498105448147,RF,2018
0.00015361343227682293,0.9993851365078699,0.00015360087762113277,0.000153810637877925,0.00015383854435448336,RF,2019
0.00014273010225676855,0.9994279082768868,0.0001434659153477415,0.00014285389278300274,0.00014304181272571816,RF,2020
0.0001298000423814878,0.9994793522722724,0.00013024290921058408,0.00012993400661752966,0.0001306707695181062,RF,2021
0.00011410985914791952,0.8390971145442176,0.0001141252240417885,0.00011382465900666736,0.16056082571358601,RF,2022
0.5958302402943122,0.00016884349697566237,0.2953054477700535,0.000169113224154605,0.10852635521450403,SIVB,2016
0.5808281214317589,0.00016451942600050434,0.31080142502535185,0.0001645039629372555,0.10804143015395154,SIVB,2017
0.5675899638756206,0.00015156622992738215,0.3083335332530843,0.00015154197281771838,0.12377339466854984,SIVB,2018
0.588434854467935,0.00014369488141743552,0.2787038438732126,0.0001436269775427915,0.13257397979989222,SIVB,2019
0.6150393104790896,0.00011390895805060319,0.24588691730058276,0.00011359492403815937,0.13884626833823893,SIVB,2020
0.5805428378758213,0.0001085285718199292,0.23816437142060273,0.00010874856460972223,0.1810755135671462,SIVB,2021
0.5673274612616377,0.0001064060784423501,0.2585303855179727,0.016555503840812166,0.1574802433011351,SIVB,2022
0.00030804170167237423,0.0003077301615586826,0.00030736053248144664,0.9987686096505267,0.00030825795376086243,WAL,2016
0.0002797093767200704,0.00028004840690536474,0.00027984600868561976,0.9988805292751967,0.00027986693249217905,WAL,2017
0.00025925899723907057,0.0002595712929634017,0.0002597070558047722,0.9989612535389276,0.0002602091150652011,WAL,2018
0.00025630468626038614,0.0002561469108281324,0.0002560434648483028,0.9989755336304837,0.0002559713075793688,WAL,2019
0.00019509674935708275,0.00019469844878139918,0.00019421754036005745,0.9992219674013744,0.00019401986012698686,WAL,2020
0.00018138380312934728,0.00018178776849359866,0.00018131456464223804,0.9992740915556614,0.00018142230807336696,WAL,2021
0.00019651489146523335,0.00019623607790536773,0.0001958622943322905,0.9992154870355021,0.00019589970079494974,WAL,2022
0.1673161348027264,0.032431848799038,0.000411360904477962,0.00041278330159496277,0.7994278721921627,ZION,2016
0.18518408259745056,0.00042049614965950416,0.00041714765111700735,0.0004189943753553423,0.8135592792264176,ZION,2017
0.14513865596713496,0.00033641328091690143,0.0003355157160108831,0.0003361847576756106,0.8538532302782617,ZION,2018
0.14086513503575368,0.0003357352687512733,0.00033465527647547977,0.00033578908011068563,0.8581286853389088,ZION,2019
0.17153663898626972,0.00029370884578620767,0.00029384691226401623,0.0002944243577767242,0.8275813808979033,ZION,2020
0.0835681152683827,0.00038766247757088875,0.0003882552121135867,0.00038892712751424245,0.9152670399144185,ZION,2021
0.06934386129627439,0.047277267273480604,0.0003783707649506256,0.016489750908170245,0.866510749757124,ZION,2022
